Location,Day,Sale Hour,Sales
489,4/5/21,12,28837.0
489,4/5/21,13,32839.0
489,4/5/21,14,23888.0
489,4/5/21,15,42889.0
489,4/5/21,16,33107.0
489,4/5/21,17,35483.0
489,4/5/21,18,30264.0
489,4/5/21,19,13864.0
489,4/5/21,20,6869.0
489,4/5/21,21,1386.0
489,4/5/21,22,651.0
489,4/5/21,23,0.0
489,4/6/21,0,33.0
489,4/6/21,1,0.0
489,4/6/21,2,0.0
489,4/6/21,3,0.0
489,4/6/21,4,0.0
489,4/6/21,5,0.0
489,4/6/21,6,5686.0
489,4/6/21,7,12896.0
489,4/6/21,8,10636.0
489,4/6/21,9,32509.0
489,4/6/21,10,47281.0
489,4/6/21,11,27232.0
489,4/6/21,12,28146.0
489,4/6/21,13,27158.0
489,4/6/21,14,41318.0
489,4/6/21,15,19314.0
489,4/6/21,16,25032.0
489,4/6/21,17,32047.0
489,4/6/21,18,15329.0
489,4/6/21,19,17145.0
489,4/6/21,20,10375.0
489,4/6/21,21,1961.0
489,4/6/21,22,145.0
489,4/6/21,23,63.0
489,4/7/21,0,0.0
489,4/7/21,1,0.0
489,4/7/21,2,0.0
489,4/7/21,3,0.0
489,4/7/21,4,0.0
489,4/7/21,5,0.0
489,4/7/21,6,2494.0
489,4/7/21,7,4042.0
489,4/7/21,8,14043.0
489,4/7/21,9,25813.0
489,4/7/21,10,25052.0
489,4/7/21,11,31030.0
489,4/7/21,12,31064.0
489,4/7/21,13,19558.0
489,4/7/21,14,32667.0
489,4/7/21,15,62534.0
489,4/7/21,16,26483.0
489,4/7/21,17,13848.0
489,4/7/21,18,21407.0
489,4/7/21,19,9276.0
489,4/7/21,20,5910.0
489,4/7/21,21,3000.0
489,4/7/21,22,4.0
489,4/7/21,23,43.0
489,4/8/21,0,0.0
489,4/8/21,1,0.0
489,4/8/21,2,0.0
489,4/8/21,3,0.0
489,4/8/21,4,0.0
489,4/8/21,5,5.0
489,4/8/21,6,4925.0
489,4/8/21,7,5043.0
489,4/8/21,8,20987.0
489,4/8/21,9,21090.0
489,4/8/21,10,32284.0
489,4/8/21,11,25760.0
489,4/8/21,12,34369.0
489,4/8/21,13,29565.0
489,4/8/21,14,41416.0
489,4/8/21,15,22550.0
489,4/8/21,16,11930.0
489,4/8/21,17,43937.0
489,4/8/21,18,9080.0
489,4/8/21,19,11355.0
489,4/8/21,20,8547.0
489,4/8/21,21,1955.0
489,4/8/21,22,21.0
489,4/8/21,23,49.0
489,4/9/21,0,13.0
489,4/9/21,1,19.0
489,4/9/21,2,0.0
489,4/9/21,3,8.0
489,4/9/21,4,0.0
489,4/9/21,5,0.0
489,4/9/21,6,5001.0
489,4/9/21,7,3905.0
489,4/9/21,8,20190.0
489,4/9/21,9,17788.0
489,4/9/21,10,30644.0
489,4/9/21,11,31820.0
489,4/9/21,12,29866.0
489,4/9/21,13,48437.0
489,4/9/21,14,34719.0
489,4/9/21,15,32841.0
489,4/9/21,16,22533.0
489,4/9/21,17,30579.0
489,4/9/21,18,19616.0
489,4/9/21,19,17730.0
489,4/9/21,20,10993.0
489,4/9/21,21,4754.0
489,4/9/21,22,197.0
489,4/9/21,23,0.0
489,4/10/21,0,6.0
489,4/10/21,1,4.0
489,4/10/21,2,0.0
489,4/10/21,3,0.0
489,4/10/21,4,0.0
489,4/10/21,5,5.0
489,4/10/21,6,2298.0
489,4/10/21,7,5262.0
489,4/10/21,8,17840.0
489,4/10/21,9,29721.0
489,4/10/21,10,34244.0
489,4/10/21,11,36820.0
489,4/10/21,12,43342.0
489,4/10/21,13,34293.0
489,4/10/21,14,40015.0
489,4/10/21,15,29418.0
489,4/10/21,16,17866.0
489,4/10/21,17,16179.0
489,4/10/21,18,9549.0
489,4/10/21,19,7940.0
489,4/10/21,20,13502.0
489,4/10/21,21,986.0
489,4/10/21,22,105.0
489,4/10/21,23,0.0
489,4/11/21,0,0.0
489,4/11/21,1,21.0
489,4/11/21,2,0.0
489,4/11/21,3,0.0
489,4/11/21,4,0.0
489,4/11/21,5,0.0
489,4/11/21,6,4866.0
489,4/11/21,7,29.0
489,4/11/21,8,11626.0
489,4/11/21,9,16400.0
489,4/11/21,10,28949.0
489,4/11/21,11,40714.0
489,4/11/21,12,38044.0
489,4/11/21,13,42230.0
489,4/11/21,14,37483.0
489,4/11/21,15,26012.0
489,4/11/21,16,30475.0
489,4/11/21,17,21339.0
489,4/11/21,18,10172.0
489,4/11/21,19,9331.0
489,4/11/21,20,2194.0
489,4/11/21,21,0.0
489,4/11/21,22,0.0
489,4/11/21,23,0.0
489,4/12/21,0,0.0
489,4/12/21,1,0.0
489,4/12/21,2,0.0
489,4/12/21,3,0.0
489,4/12/21,4,0.0
489,4/12/21,5,22.0
489,4/12/21,6,3072.0
489,4/12/21,7,3370.0
489,4/12/21,8,9208.0
489,4/12/21,9,14088.0
489,4/12/21,10,22643.0
489,4/12/21,11,25314.0
489,4/12/21,12,31720.0
489,4/12/21,13,39255.0
489,4/12/21,14,20054.0
489,4/12/21,15,30692.0
489,4/12/21,16,17074.0
489,4/12/21,17,18364.0
489,4/12/21,18,8894.0
489,4/12/21,19,10071.0
489,4/12/21,20,8497.0
489,4/12/21,21,5687.0
489,4/12/21,22,31.0
489,4/12/21,23,0.0
489,4/13/21,0,0.0
489,4/13/21,1,1683.0
489,4/13/21,2,0.0
489,4/13/21,3,0.0
489,4/13/21,4,0.0
489,4/13/21,5,30.0
489,4/13/21,6,1700.0
489,4/13/21,7,9488.0
489,4/13/21,8,15775.0
489,4/13/21,9,19239.0
489,4/13/21,10,27608.0
489,4/13/21,11,36992.0
489,4/13/21,12,42889.0
489,4/13/21,13,29292.0
489,4/13/21,14,25059.0
489,4/13/21,15,22133.0
489,4/13/21,16,12183.0
489,4/13/21,17,31407.0
489,4/13/21,18,9490.0
489,4/13/21,19,8592.0
489,4/13/21,20,7602.0
489,4/13/21,21,1771.0
489,4/13/21,22,291.0
489,4/13/21,23,0.0
489,4/14/21,0,0.0
489,4/14/21,1,0.0
489,4/14/21,2,0.0
489,4/14/21,3,0.0
489,4/14/21,4,0.0
489,4/14/21,5,0.0
489,4/14/21,6,1159.0
489,4/14/21,7,6351.0
489,4/14/21,8,17970.0
489,4/14/21,9,12831.0
489,4/14/21,10,37787.0
489,4/14/21,11,32559.0
489,4/14/21,12,31136.0
489,4/14/21,13,26807.0
489,4/14/21,14,25306.0
489,4/14/21,15,27726.0
489,4/14/21,16,16216.0
489,4/14/21,17,12808.0
489,4/14/21,18,28681.0
489,4/14/21,19,12533.0
489,4/14/21,20,13105.0
489,4/14/21,21,2357.0
489,4/14/21,22,5.0
489,4/14/21,23,0.0
