Location,Day,Sale Hour,Sales $
489,2/20/21,7,2559
489,2/20/21,8,6503
489,2/20/21,9,13099
489,2/20/21,10,12753
489,2/20/21,11,19628
489,2/20/21,12,30220
489,2/20/21,13,33846
489,2/20/21,14,31644
489,2/20/21,15,35643
489,2/20/21,16,31845
489,2/20/21,17,13530
489,2/20/21,18,16302
489,2/20/21,19,8710
489,2/20/21,20,3747
489,2/20/21,21,425
489,2/21/21,1,2
489,2/21/21,6,9
489,2/21/21,7,1160
489,2/21/21,8,2891
489,2/21/21,9,9288
489,2/21/21,10,12816
489,2/21/21,11,17260
489,2/21/21,12,16047
489,2/21/21,13,24236
489,2/21/21,14,27541
489,2/21/21,15,19828
489,2/21/21,16,29849
489,2/21/21,17,10301
489,2/21/21,18,1974
489,2/21/21,19,3072
489,2/21/21,20,1883
489,2/22/21,1,7
489,2/22/21,5,962
489,2/22/21,6,1825
489,2/22/21,7,11143
489,2/22/21,8,14258
489,2/22/21,9,8522
489,2/22/21,10,9377
489,2/22/21,11,6929
489,2/22/21,12,12821
489,2/22/21,13,16118
489,2/22/21,14,17801
489,2/22/21,15,20157
489,2/22/21,16,20406
489,2/22/21,17,9172
489,2/22/21,18,11458
489,2/22/21,19,4756
489,2/22/21,20,4041
489,2/22/21,21,836
489,2/22/21,22,45
489,2/23/21,0,41
489,2/23/21,4,4
489,2/23/21,6,2766
489,2/23/21,7,14573
489,2/23/21,8,28426
489,2/23/21,9,21147
489,2/23/21,10,21081
489,2/23/21,11,20149
489,2/23/21,12,15524
489,2/23/21,13,40609
489,2/23/21,14,39318
489,2/23/21,15,40786
489,2/23/21,16,29731
489,2/23/21,17,21920
489,2/23/21,18,11732
489,2/23/21,19,10107
489,2/23/21,20,2860
489,2/23/21,21,582
489,2/24/21,1,3
489,2/24/21,5,3230
489,2/24/21,6,1135
489,2/24/21,7,14952
489,2/24/21,8,9514
489,2/24/21,9,19984
489,2/24/21,10,16836
489,2/24/21,11,18378
489,2/24/21,12,20037
489,2/24/21,13,22672
489,2/24/21,14,15920
489,2/24/21,15,20371
489,2/24/21,16,8781
489,2/24/21,17,7507
489,2/24/21,18,15661
489,2/24/21,19,9018
489,2/24/21,20,3632
489,2/24/21,21,57
489,2/24/21,22,12
489,2/25/21,1,8
489,2/25/21,5,13
489,2/25/21,6,4196
489,2/25/21,7,5016
489,2/25/21,8,15091
489,2/25/21,9,8981
489,2/25/21,10,22606
489,2/25/21,11,27889
489,2/25/21,12,29404
489,2/25/21,13,14973
489,2/25/21,14,19125
489,2/25/21,15,17291
489,2/25/21,16,9391
489,2/25/21,17,36671
489,2/25/21,18,10261
489,2/25/21,19,7734
489,2/25/21,21,49
489,2/26/21,0,0
489,2/26/21,5,9
489,2/26/21,6,2638
489,2/26/21,7,3950
489,2/26/21,8,7794
489,2/26/21,9,30075
489,2/26/21,10,10947
489,2/26/21,11,16679
489,2/26/21,12,6020
489,2/26/21,13,17094
489,2/26/21,14,15874
489,2/26/21,15,35712
489,2/26/21,16,45439
489,2/26/21,17,28862
489,2/26/21,18,6400
489,2/26/21,19,6912
489,2/26/21,20,3604
489,2/26/21,21,81
489,2/26/21,22,56
489,2/27/21,0,71
489,2/27/21,1,32
489,2/27/21,4,180
489,2/27/21,5,22
489,2/27/21,6,1495
489,2/27/21,7,1533
489,2/27/21,8,12449
489,2/27/21,9,15614
489,2/27/21,10,23354
489,2/27/21,11,43840
489,2/27/21,12,32118
489,2/27/21,13,28321
489,2/27/21,14,38435
489,2/27/21,15,28312
489,2/27/21,16,15311
489,2/27/21,17,20412
489,2/27/21,18,7423
489,2/27/21,19,7575
489,2/27/21,20,2848
489,2/27/21,21,49
489,2/27/21,23,69
489,2/28/21,0,20
489,2/28/21,1,3
489,2/28/21,6,17
489,2/28/21,7,2154
489,2/28/21,8,2758
489,2/28/21,9,11200
489,2/28/21,10,18154
489,2/28/21,11,25749
489,2/28/21,12,23383
489,2/28/21,13,23002
489,2/28/21,14,23802
489,2/28/21,15,28496
489,2/28/21,16,15527
489,2/28/21,17,15275
489,2/28/21,18,6455
489,2/28/21,19,2212
489,2/28/21,20,96
489,2/28/21,21,6
489,3/1/21,0,4
489,3/1/21,1,1534
489,3/1/21,5,9
489,3/1/21,7,1305
489,3/1/21,8,5632
489,3/1/21,9,13601
489,3/1/21,10,11637
489,3/1/21,11,17120
489,3/1/21,12,16443
